title,link,image,lprice,hprice,mall_name,product_id,brand,maker,category1,category2,category3,category4,search_keyword,capacity,brand_type,price_range,detailed_price
"스탠리 스탠리1913 퀜처 H2.0 플로우스테이트 텀블러 591ml, 로즈쿼츠",https://search.shopping.naver.com/catalog/56386863934,https://shopping-phinf.pstatic.net/main_5638686/56386863934.20250822145513.jpg,45000,0,네이버,56386863934,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,3-5만원,3-5만
"로티 로티캠프 대용량 손잡이 빨대 텀블러 750ml, 아이보리",https://search.shopping.naver.com/catalog/52938776359,https://shopping-phinf.pstatic.net/main_5293877/52938776359.20250610163034.jpg,14900,0,네이버,52938776359,로티캠프,로티,생활/건강,주방용품,잔/컵,텀블러,텀블러,750.0,기타/노브랜드,1-2만원,1-1.5만
"스탠리 카페 투고 트래블 머그 473ml, 블랙 2.0",https://smartstore.naver.com/main/products/11839855556,https://shopping-phinf.pstatic.net/main_8938436/89384366150.jpg,42000,0,스탠리 코리아,89384366150,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,유명브랜드,3-5만원,3-5만
락앤락 메트로카페 텀블러 LHC4356 400ml,https://search.shopping.naver.com/catalog/50992732620,https://shopping-phinf.pstatic.net/main_5099273/50992732620.20241023093608.jpg,22500,0,네이버,50992732620,락앤락,락앤락,생활/건강,주방용품,잔/컵,텀블러,텀블러,400.0,유명브랜드,2-3만원,2-2.5만
"스타벅스 SS 나수 하우스 텀블러 355ml, 화이트",https://search.shopping.naver.com/catalog/52340287655,https://shopping-phinf.pstatic.net/main_5234028/52340287655.20250107153920.jpg,29500,0,네이버,52340287655,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,355.0,기타/노브랜드,2-3만원,2.5-3만
"오덴세 KBO 투웨이 루프 텀블러 750ml, 1개",https://search.shopping.naver.com/catalog/55814098405,https://shopping-phinf.pstatic.net/main_5581409/55814098405.20250716102932.jpg,37240,0,네이버,55814098405,오덴세,,생활/건강,주방용품,잔/컵,텀블러,텀블러,750.0,기타/노브랜드,3-5만원,3-5만
락앤락 데일리 포켓 미니텀블러 150ml 1+1 총 2개 구성,https://smartstore.naver.com/main/products/8703221211,https://shopping-phinf.pstatic.net/main_8624772/86247721534.jpg,23900,0,락앤락,86247721534,락앤락,락앤락,생활/건강,주방용품,잔/컵,텀블러,텀블러,150.0,유명브랜드,2-3만원,2-2.5만
[커피쿠폰증정] 락앤락 메트로 카페 세라믹 텀블러 500ml,https://smartstore.naver.com/main/products/10361938007,https://shopping-phinf.pstatic.net/main_8790644/87906442655.3.jpg,28700,0,락앤락,87906442655,락앤락,락앤락,생활/건강,주방용품,잔/컵,텀블러,텀블러,500.0,유명브랜드,2-3만원,2.5-3만
"모슈 라떼 스트로우 텀블러 480ml, 1개",https://search.shopping.naver.com/catalog/52778094496,https://shopping-phinf.pstatic.net/main_5277809/52778094496.20250203095249.jpg,35820,0,네이버,52778094496,모슈,,생활/건강,주방용품,잔/컵,텀블러,텀블러,480.0,기타/노브랜드,3-5만원,3-5만
"스타벅스 SS 시그니처 탱크 텀블러 503ml, 1개",https://search.shopping.naver.com/catalog/54111984771,https://shopping-phinf.pstatic.net/main_5411198/54111984771.20250416173308.jpg,32500,0,네이버,54111984771,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,503.0,기타/노브랜드,3-5만원,3-5만
